"County
,,,,Berkeley,"Past Ordinance, Anecdote/Interview","On Sept. 10, 2024, City Council approved legislation that broadened the city’s authority to sweep camps even when shelter isn’t available.

1. The resolution said that the city wouldn’t sweep encampments unless it was able to offer shelter to displaced people, but it also outlined several exceptions including encampments that posed a health or safety hazard.
2. Also on Sept. 10, 2024, nine business and property owners sued the city over a longstanding homeless encampment, citing public and private nuisances.
3. On Jan. 7, 2025, the city posted notice that officials had found such nuisance conditions at a longstanding encampment and directed everyone living there leave by Feb. 10 or the city would remove all property remaining on the property.
4. On Feb. 13, the Berkeley Homeless Union sued the city to enjoin Berkeley to sweep the encampment.
5. As of Feb. 14, a federal judge has temporarily blocked Berkeley from clearing the encampment."
,,,,Dublin,Past Ordinance,"Section 5.100.110 identifies pohibited acts/activities in parks. It states that ""unless expressly authorized by the Director, no person while in any park shall: . . . E. Camp, lodge or remain overnight . . ."""
,,,,Emeryville,,Emeryville does not appear to have an ordinance specifically addressing to camping.
,,,,Fremont,Past Ordinance,"In February 2025, Fremont City Council gave final approval to an ordinance that bans camping throughout the entire city, while also making anyone ""aiding, abetting or concelaing"" a homeless encampment guilty of a misdemeanor. On March 4, they voted to remove the aiding and abetting clause after pushback from the community."
,,,,Hayward,Past Ordinance,"Article 17 of Hayward's municipal code addresses camping and storage of personal property:

1. It’s unlawful to camp, occupy camp facilities or use camp paraphernalia on any City-owned property. (Section 4-17.20)
2. It’s unlawful to store personal property, including camp facilities and camp paraphernalia on any City-owned property. (Section 4-17.25)
3. A violation is declared a public nuisance which may be enjoined by civil action or enforced with citations. (Section 4-17.30)
4. “Camp” means to pitch or occupy camp facilities; to use camp paraphernalia. (Section 4-17.10)
5. Appears to have been last updated in 2014."
,,,,Livermore,Past Ordinance,"Chapter 12.65 of the municipal code addresses camping. In livermore it's unlawful and a public nuisance to camp, establish/maintain/operate/occupy camping facilities, or use camp paraphernalia on any public property or any private proeprty where the public has right of access. It's simiarly unlawful to store camp paraphernalia on public property. aA violation is punishable by a fine up to $100 for a first offense, and as a misdemeanor punishable by a fine up to $300 or  up to 30 days in jail or both."
,,,,Newark,Past Ordinance,"Section 7.04.030 talks about how unoccupied swellings are attractive for ""unlawful camping and occuptation"" but doesn't seem to clearly discuss unlawfulcamping elsewhere in the municipal code."
,,,,Oakland (county seat),"Anecdote/Interview, Past Ordinance","On Sept. 24, 2024, Oakland’s mayor gave an executive order to city departments to fully remove people living in homeless encampments, enforcing the Encampment Management Policy. The EMP was passed in 2020, prohibiting encampment within a certain number of feet of schools, parks, playgrounds, bodies of water and retail businesses. It also prohibits most of the cooking and heating equiment used by peope living in encampemnts."
,,,,Piedmont,Past Ordinance,"Piedmont doesn't appear to have any ordinances specifically addressing camping or homelessness, aside from generally prohibiting obstructions of streets and sidewalks (Chapter 18, Article IV, Section 18.22)"
,,,,Pleasanton,Past Ordinance,"(A) No person shall camp or lodge in a tent or on the ground in any park and recreation favility, including the parking lot area of any such facility.
(B) Except during daylight, or except for security purposes and with the written permission of the director, no person shall stay, remain or sleep in a motor home or other motor vehicle otherwise, in any park and recreation facility, including the parking lot area of such facility.
(Section 13.08.120 Camping–Sleeping, Ord. 1428 Section 4, 1989)"
,,,,San Leandro,Past Ordinance,It is unlawful to camp overnight or to park a trailer coach overnight upon any public street or other public place. (Section 3-10-925)
,,,,Union City,Anecdote/Interview,"Union City doesn't seem to have an ordinance against camping, and the city's FAQ page still states that cities can't crminalize sleeping on public property when no alternative space is avaialble under federal law, meaning people experiencing homelessness may not be arrested for camping on public property unless unrestricted shelter is availabe."
Sacramento,Charter,"1,584,288","966 sq mi
(2,502 km2)",Sacramento,Proposed Ordinance,"Amendment of Chapter 9.120 to Title 9 of the Sacramento County Code; The critical infrastructure ordinance adds Chapter 9.120 to the Sacramento County Code to prohibit camping and encampments in the following priority areas:

1. In, on or within 25 feet of ""critical infrastructure"" or the entrance/exit of ""critical infrastructure;""
2. Up to 1,000 feet of a location providing year-round overnight shelter to people experiencing homelessness and the entrance/exit to such locations;
3. Inside of, or within 30 feet of wildfire and flood risk areas during severe weather;
4. and Within 25 feet of a youth-serving facility, defined as public or private primary or secondary schools and public libraries. "
,,,,Rancho Cordova,Proposed Ordinance,"The Rancho Cordova City Council unanimously approved a new camping ordinance on Sept. 16, 2024 aimed at updating the city’s approach to managing illegal camping in public spaces."
,,,,Folsom,Proposed Ordinance,"The Folsom Police Department started its homeless outreach team (HOT), which will ban unlawful camping on public property, authorities said. Planning to enforce the unlawful camping ordinance, outlined in the Folsom Municipal Code (Chapter 9.100 CAMPING)."
,,,,Elk Grove,Proposed Ordinance,"Ordinance No. 12-2024: an ordinance of the city council of the city of Elk Grove amending chapter 9.38 of the Elk Grove Municipal Code related to unlawful camping. Elk Grove City Council unanimously passed an amendment to a city ordinance Wednesday that shortens the window of notice city officials must give to those at homeless encampments, or unlawfully camping in the city, to 24 hours before temporarily seizing their property. The previous notice was a 72-hour window. The amendment, the city said, will allow them to respond quicker to camp clean-ups.

Elk Grove will also prohibit the following: “sleeping on public sidewalks, streets, or alleyways; sleeping in any pedestrian or vehicular entrance to public or private property abutting a public sidewalk; occupying a campsite upon any sidewalk, street, alley, lane, public right of way, park, bench, or any other public property and/or under any bridge; and camping on private property without the consent of the property owner.”"
Contra Costa County,General Law,"1,155,025","720 sq mi
(1,865 km2)",Antioch,"Past Ordinance, Proposed Ordinance","Antioch has a strict anti-camping provision on the books, and the mayor announced plans to strengthen it. Antioch, Cal., Mun. Code § 10-2.12 (1996). As far as I can tell, the ordinance hasn't been changed, but it might be enforced more strictly now. "
,,,,Brentwood,Anecdote/Interview,
Fresno County,Charter,"1,017,162","5,963 sq mi
(15,444 km2)",Fresno,Past Ordinance,"Fresno County (in its entirety) will be one of the first local jurisdictions in the country to implement anti-encampment ordinances.

1. On Aug. 20, 2024 the Fresno County Board of Supervisors passed an anti-encampment ordinance, with enforcement set to begin within the next month.
2. Ordinance violators expect to face criminal penalties including fines and jail time."
,,,,Clovis,Past Ordinance,"1. Sleeping and camping in public and certain private places is prohibited.
2. Camping includes use of tents/temporary shelters, use of sleeping bags/beds/hammocks, use of park benches/similar structures, and use of any parked vehicles.
3. It’s not a violation to sleep in a public park between 7am-10pm, or from 10pm-7am in a designated overnight camp area.
4. It is not considered recreational camping when a camp is established with the intent to lodge or reside at that location, remain in that location or park overnight, or remain for a period of more than one consecutive day.
5. In addition to any other remedy or enforcement mechanism, any camp in violation of this section is declared to be a public nuisance, and the Chief of Police or his/her designee is authorized to remove the camp after giving the occupant the opportunity to remove the camp.
(Section 5.27.510 Camping)"
,,,,Sanger,Past Ordinance,"1. No person shall camp, lodge, sleep or tarry overnight in any park or recreation area without written permission from the director.
2. No person shall set up tents, shacks, or any other temporary shelter for the purpose of camping in any park or recreational area without written permission of the director.
3. No person shall leave in a park or recreation area any moveable structure or special vehicle to be used or that could be used for camping, such as a house trailer, camp trailer, motor home, or the like, without written permission from the director.
(Section 42-15 Overnight Camping)"
,,,,Reedley,Past Ordinance,"It shall be unlawful for any person to camp within any park or recreation area without having first secured a written permit from the City and paid the applicable fee therefor to the City, and no person shall camp outside of a camp site or site designated in such permit. (Section 7-3-5 Camping; Ord. 2018-004, 8-28-2018)"
,,,,Selma,Past Ordinance,"In Oct. 2024, Selma City Council approved an ordinance that prohibits sitting, lying, sleeping or camping in a public place, including but not limited to sidewalks, street alleys, sensitive areas or within doorways. It went into effect in November but is not reflected in the online municipal code."
,,,,Parlier,Past Ordinance,"Sleeping and camping in public and certain private places prohibited
“Camp” means an outdoor place for eating, cooking or sleeping.
It is not considered a violation to sleep in any public park between 7am-10pm.
(Section 6.11.510 Camping)
Note: this ordinance seems very similar to Clovis'"
,,,,Kerman,,Kerman doesn't appear to have an anti-camping/anti-homeless ordinance
,,,,Coalinga,Past Ordinance,"Sec. 10-1.12. - Overnight camping.
(a)No person shall camp, lodge, sleep or tarry overnight in any park or recreation area.(b)No person shall set up tents, shacks, or any other temporary shelter for the purpose of camping in any park or recreational area.(c)No person shall leave in a park or recreation area any moveable structure or special vehicle to be used or that could be used for camping, such as a house trailer, camp trailer, motor home, or the like
(Ord. No. 793, § 1, eff. 11-5-2016)"
,,,,Kingsburg,Past Ordinance,"As of Nov. 6, 2024, Kingsburg adopted an ordinance making it unlawful to camp on public and private property and obstruct public rights of way."
,,,,Mendota,Past Ordinance,"12.12.020 - Prohibited act—Camping or occupation of temporary structure.
It is unlawful for any person to camp or live on any lot or area of land within the city other than in a permanently constructed building with toilet and other facilities required by this code. This provision is intended to prevent persons from sleeping or camping, whether in tents or otherwise, in or upon open areas, such as yards and lots, whether public or private, in the city.
(Prior code § 6.03.002)"
,,,,Orange Cove,Past Ordinance,"Setting up temporary shelter for the purpose and sleeping/""protractedly lounging"" on seats/benches/tables/anywhere in a park at any time from midnight-6am are restircted activities, considered unreasonable interference that detracts from general puoblic enjoument of parks. (Chapter 12.12 Park Use Regulatinos, 12.12.030 - Restricted activities)"
,,,,Firebaugh,Past Ordinance,"It shall be unlawful for any person to inhabit any trailer coach standing or parked in or upon any lot or area of land within the City of Firebaugh, or upon any street, alleyway, or place therein and it shall be unlawful for any person to inhabit any tent, hut, or motor home, or to camp on the ground within any such areas in the City of Firebaugh except in a legally constituted and licensed trailer park or camp, provided that when the city may permit it for specified occasions, camping in city parks may be allowed. Section 9-1.2; see Sections 9-1.3 and 9-1.3 for violations and penalties."
,,,,Huron,Past Ordinance,"9.12.130 - Tents prohibited.
No tents may be erected or occupied in the City for the purposes of living or sleeping, except in a campground established for such purpose. All buildings used for living or sleeping purposes shall be erected in accordance with the City Building Code and the State Housing Act.
(Ord. 220 § 1, 1986)"
,,,,Fowler,Past Ordinance,"1. Sleeping and camping in public and certain private places is prohibited.
2. Camping includes use of tents/temporary shelters, use of sleeping bags/beds/hammocks, use of park benches/similar structures, and use of any parked vehicles.
3. It’s not a violation to sleep in a public park between 7am-10pm, or from 10pm-7am in a designated overnight camp area.
4. It is not considered recreational camping when a camp is established with the intent to lodge or reside at that location, remain in that location or park overnight, or remain for a period of more than one consecutive day.
5. In addition to any other remedy or enforcement mechanism, any camp in violation of this section is declared to be a public nuisance, and the Chief of Police or his/her designee is authorized to remove the camp after giving the occupant the opportunity to remove the camp.
(Section 5.21.510 Camping); Note: very similar to Clovis and Parlier"
,,,,San Joaquin,,San Joaquin doesn't seem to have an anti-camping ordinance
,,,,Fresno,Past Ordinance,"Fresno's law, passed Aug. 15, 2024, is among the toughest in the state: banning camping, sitting or lying on public property anytime, anywhere."
Kern County,General Law,"913,820","8,142 sq mi
(21,088 km2)",Arvin,Past Ordinance,"Prohibits camping and using camp paraphernalia, which includes even ""materials intended to be used as beds or bedding."" Storing personal property in public spaces is also prohibited, even if moved between public spaces throughout the day. This ordinance defines everything broadly, apparently to target activity of homeless population. Exception: ""Absent exigent circumstances posing an immediate threat to the public health, safety, or welfare, the provisions of 8.330.030(A) will not be enforced against individuals based solely upon the fact that they are sitting, lying, or sleeping on city-owned public property, when such individuals do not have access to adequate shelter space."" (aligns with Boise, ripe for amendment in light of Grants Pass). Adopted 2/8/2022."
,,,,Bakersfield,Past Ordinance,Camping prohibited on public property. Sleeping outside on public property prohibited between sunset and sunrise. Adopted 1988.
,,,,Bakersfield,Proposed Ordinance,"Amendment to Municipal Code 12.56.050 (prohibited acts in parks) currently pending codification. Amendment replaces the following language: ""Be in or upon any park between the hours of ten p.m. and five a.m., except for participants in city-sponsored events, for which the prohibited hours shall be twelve midnight to five a.m.; provided, however, that camping and lodging overnight may be permitted when such camping or lodging is part of an authorized recreational outing under the supervision of the division of recreation and parks of the city pursuant to a permit..."" with ""Be in or upon any park between the hours of ten p.m and five a.m....No person shall construct or maintain any building, structure, tent or any other thing in any park that may be used for housing accommodation or camping."" Passed 11/6/2024 (post-Grants pass). The last time this provision was updated was 2007. Meeting agenda doesn't contain any clues as to why this change was made other than removing ""extraneous permit language."""
,,,,California City,Past Ordinance,Permit required to camp in public parks.
,,,,Delano,Proposed Ordinance,"Ordinance proposed in December 2024 (post-Grants Pass) city council meeting to prohibit camping in public parks and also create a new chapter prohibiting camping on public property ""to model Grants Pass's camping prohibitions."" Mayor and councilmembers separately expressed concerns about homeless individuals' presence interfering with local businesses."
,,,,McFarland,Past Ordinance,"McFarland has a whole chapter of the code that seems to categorically target its homeless population. Includes general camping/using camp paraphernalia including sleeping bags prohibition and also prohibits storing personal property, using tents, making fires, bathing or using park water sources to bathe. Adopted 7/25/2024 (post-Grants Pass)"
,,,,Taft,Past Ordinance,"Unlawful to ""enter, remain, stay or loiter"" in a public space between 10pm and 6am. Also to ""camp or lodge"" and separately to ""camp overnight."" Adopted 5/19/2015. Storage of property in public & sleeping in vehicles also prohibited. Adopted 7/18/2023."
,,,,Tehachapi,Past Ordinance,"Prohibits storage of personal property in public places, campfires, public urination/defecation, and sleeping/living in a vehicle. No camping-specific provisions. "
,,,,Wasco,Past Ordinance,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bedrolls. Adopted 2018."
Ventura County,General Law,"829,590","1,846 sq mi
(4,781 km2)",,Past Ordinance,"Same since 2022 [namely below]
(a) No person shall camp or lodge in any designated site or location within the limits of a County Park without first registering for the camping space by completing the appropriate registration card and paying the appropriate use fees.
(b) No person shall camp or otherwise park overnight in any space not designated for such use by the Director or an authorized representative. Camping is not permitted in a day use area without written permission from the Director...
(h)Only those park patrons that have a valid camping permit are permitted to use the shower or laundry facilities...
(j)Only the person renting a camping space may park a recreational vehicle in the space"
,,,,,Statistics,"2,358 Homeless People in Ventura County"
,,,,† Ventura (San Buenaventura),Statistics,"Ventura City has a larger homeless population than other cities in the county, likely because the county jail is there and they believe people stay there after getting out when homeless after being arrested"
,,,,Thousand Oaks,Statistics,178 homeless people in 2024- up 50 from last year
,,,,Camarillo,Statistics,"Camarillo has 80 “unsheltered” people and nine sheltered, while Moorpark has five in the unsheltered category."
,,,,Port Hueneme,Proposed Ordinance,"Requested alteration of their laws in Dec. 2024 to reflect the Grant's Pass decision, expected next year"
,,,,Oxnard,Past Ordinance,"Lots of standard laws outlawing camping without a permit, panhandling, etc. (not altered since GP)"
City and County of San Francisco,Charter,"808,988","47 sq mi
(122 km2)",San Francisco,Anecdote/Interview,"Interview with then Mayor London Breed: ""We will continue to offer shelter, but we will not allow those who reject offers of help to remain where they are"" (06/28/24)"
,,,,San Francisco,Past Ordinance,"Prior to removing an encampment, must offer shelter or housing (and homelessness services) to all present at the encampment (§168)"
,,,,San Francisco,Past Ordinance,"Between 7am-11pm, unlawful to sit/lie on public sidewalk, or have any object (e.g. chair) on the sidewalk to rest (§168). Requires 24hr notice of intent to remove encampment (§169). Personal property will be stored for 90 days for no charge, after which it will be discarded if not collected (§169)."
,,,,San Francisco,Past Ordinance,"Can't sleep in a park between 8pm-8am (§3.13). If unhoused person accepts social services within 30 hours of issuance of the citaiton, won't be charged (§3.13). Camping prohibited (§3.12)"
,,,,San Francisco,"Proposed Ordinance, Anecdote/Interview","Bayview Vehicle Triage, an RV park, is set to close (March '25) 9 months before its lease is up. It was the only safe parking site for homeless people. "
,,,,San Francisco,Statistics,"37% increase in people living in vehicles (2022 to 2024). Over the past two years, unsheltered homelessness — people sleeping in tents, informal structures, sleeping bags or vehicles — doubled in the Bayview-Hunters Point area. The district accounts for 17.6% of the city’s homeless population, the largest share across the city, but just 5.7% of its shelter and permanent supportive housing beds, according to city data. "
,,,,San Francisco,"Proposed Ordinance, Past Ordinance","According to a Sep '24 article, residents living in RVs could face towing if they don't accept shelter. ""Under a new law proposed by Breed, oversized vehicles parked overnight — between the hours of midnight and 6 a.m. — on city streets could be towed if those living in them have previously rejected an offer of shelter, housing or other services."""
,,,,San Francisco,Proposed Ordinance,"Mayor Lurie ""first piece of legislation gives him more power in doling out contracts to address the city’s drug, mental health and homelessness crises, while reducing the supervisors’ oversight."" He also made permanent the Drug Market Agency Coordination Center, a centralized hub for local, state and federal law enforcement agencies to disrupt drug dealing and public drug use in the Tenderloin and SOMA neighborhoods.

"
,,,,San Francisco,Proposed Ordinance,"2.12.25 Ordinance - Mayor Lurie has authority to bypass traditional approvals to enact his agenda on homelessness. This ordinance temporarily eases procurement and approval rules to speed up the City’s response to homelessness, drug crises, mental health needs, and public safety hiring. Key provisions include:
- Procurement Waivers: Competitive bidding rules for related contracts, grants, and leases are suspended until January 2026.
- Mayoral Authority: The Mayor can approve certain contracts and leases if the Board of Supervisors does not act within 45 days.
- Lease Approvals: Board approval is not required for leases related to these initiatives until January 2026.
- Funding & Donations: The City can accept up to $10 million in private donations and grants for these efforts. The Mayor’s Office can also solicit donations for six months, overriding existing restrictions.
- Budget Flexibility: The Controller can reallocate surplus funds for these initiatives.
- Sunset Date: A prior waiver for homelessness-related contracts will expire in May 2029."
San Joaquin County,General Law,"800,965","1,399 sq mi
(3,623 km2)",Lodi,Proposed Ordinance,"Municipal code 8.04 - camping ordinance introduced post-Grants Pass. I don't think it's passed yet. Current camping ordinance is about needing a permit to erect a tent, the new proposal is standard, but not super expansive (includes mattresses, but not sleeping bags/pillows). "
,,,,,Proposed Ordinance,"San Joaquin Board of Supervisors, on 10/24/2024, adopted a county ordinance on camping, post-Grants Pass. Title 6, Division 3, Chapter 7. The ordinance is expansive (includes all bedding) and includes fines of up to $1,000 and up to six months incarceration. Also extends to living in vehicles.  NTS: no follow-up on this, it might have beens topped? "
,,,,Manteca,Anecdote/Interview,Manteca has amped up enforcemenent of anti-camping laws. Enforcement actions happen at night. Generally/ostensibly used to coerce people into available shelters.
,,,,Stockton,Proposed Ordinance,"Unanimous City Council vote for a camping ordinance that prohibits unhoused people from camping on public property. Known as the ""Critical Infrastructure Ordinance,"" it imposes daily penalties between $250-$25,000. Includes shelter and vehicles and ""paraphernalia,"" including sleeping bags. "
,,,,Tracy,Past Ordinance,"Notes from a meeting on Grants Pass noted that Tracy was supportive of the Grants Pass decision and was already ""ahead of the curve"" on enforcement. "
San Mateo County,Charter,,,San Mateo,Past Ordinance,"(1)Ordinance 5.80.0309  effected on Mar, 2024 rules that no person shall establish, construct, maintain, operate or conduct any camp, as herein defined, without first complying with the provisions of this chapter and obtaining a License as herein provided.
(2) ""Hopeful Horizons"" passed in Jan., 2024:
3.109.030 Encampment Prohibitions: It is illegal and considered a public nuisance to set up or maintain a homeless encampment on public property in unincorporated areas if a shelter is available.This rule does not apply if the individual has not been offered shelter or lacks the means to obtain it.
Two warnings must be issued before a violation is enforced. Failure to leave within 24 hours of the second warning leads to a misdemeanor. Law enforcement can remove personal belongings if necessary. Alternative programs may be available instead of criminal penalties."
,,,,Atherton,"Past Ordinance, Proposed Ordinance","Municipal Code 12.16.010-Camping or building fires or Picnic on public street prohibited.
Atherton’s ordinance banning overnight camping in vehicles was finalized on Nov. 20 by a unanimous vote of the City Council.
However, there is a proposed ordinance would permit people experiencing homelessness to be charged with a misdemeanor after receiving two written warnings and declining two offers of shelter. The ordinance defines an encampment as any ""tent, makeshift structure or collection of belongings"" located in an area not meant for habitation and with no set plans to move."
,,,,Belmont,Past Ordinance,Belmont City Code Sec. 16-29. limits on special activities like overnight camping except at locations specifically designated for such activities.
,,,,Brisbane,Past Ordinance,"12, 2024In Brisbane from Nov, it is illegal to camp overnight in a vehicle on a road or road related area (e.g. footpath, dividing strip or public cycle paths) unless it is in a designated signed area or tourist accommodation area.
Council may issue you with a fine if you camp in your vehicle overnight on a road or park in Brisbane.
Sleeping in a vehicle is not prohibited when:
it is required for fatigue management
it is required for personal safety
otherwise in emergent circumstances."
,,,,Broadmoor,Past Ordinance,No local ordinance found. Refer to the county ordinance.
,,,,Burlingame,Past Ordinance,"In Code of Ordinance§ 13.32.190(Ord. 1259 § 2, (1983)), no person shall use any trailer, semitrailer, camper, camp trailer, house car, trailer coach, mobile home or any other vehicle for the purpose of sleeping or living quarters whether on public or private property.
In Burlingame State Park, visitors must leave by 10 PM.
Only one family is allowed per campsite.
Non-family groups are limited to six people per campsite.
Cabins are limited to six people, one tent, and two vehicles.
Campsites are allowed two vehicles maximum.
The number of tents allowed on a site varies by campground."
,,,,Colma,Proposed Ordinance,"Colma is planing a project named HOPE (Housing Our People Effectively),a ten-year action plan initiated by San Mateo County that brings together the business, nonprofit, and public sector communities to address the challenging issue of homelessness.The plan will increasing the supply of permanent affordable and supportive housing for people who are homeless and developing strategies to help them move into housing as rapidly as possible; and prevent individuals and families from becoming homeless in the first place by assisting them to maintain their housing"
,,,,Daly City,Past Ordinance,"§10.76.020 It is prohibited to use or occupy any vehicle, camper, mobile home, RV, or similar conveyance for human habitation on public property (such as streets, alleys, parks, beaches, or squares) between 10:00 p.m. and 6:00 a.m.
Exception: Only allowed in areas officially designated by the city for such purposes.Violating this ordinance is considered an infraction and subject to fines:
First violation: Up to $50 fine.
Second violation (within one year): Up to $100 fine.
Additional violations (within one year): Up to $250 fine.
"
,,,,East Palo Alto,Anecdote/Interview,"The mayor proposed his ideas in Aug,2024 to reduce the unhoused population in his city, including introducing an encampment clearing ordinance that would give unhoused individuals in encampments at least two written warnings and two offers of shelter before being cleared. But it was dinied on Sept., 2024."
,,,,Foster City,Past Ordinance,"No local ordinance found. Refer to the county ordinance.
Foster City has resources for people experiencing homelessness, including housing and support services. "
,,,,Hillsborough,Anecdote/Interview,"Hillsborough, California has resources for people experiencing homelessness, including housing and support services. "
,,,,Menlo Park,Anecdote/Interview,The council voted 3-0 to create an ad hoc subcommittee consisting of Mayor Cecilia Taylor and Vice Mayor Drew Combs to address homelessness in the city and to cooperate with San Mateo County efforts to tackle homelessness.
,,,,Pacifica,Anecdote/Interview,"The Coast House Shelter in Pacifica, California offers temporary housing and support services for people experiencing homelessness. The Pacifica Resource Center (PRC) also provides services to help prevent homelessness and build economic stability. "
,,,,Redwood City,"Past Ordinance, Anecdote/Interview","The ordinance, passed on Jan. 2024, makes refusing to leave an encampment a misdemeanor after two warnings, but it cannot be enforced unless a shelter bed is available and has been declined, which is in line with the law which states that an unhoused person cannot be criminally charged for taking up public space if no shelter is made available to them
The Police Department determines if an encampment meets a certain threshold for posing a risk to public safety, public health, or environmental concerns. If a site meets the threshold, then the Police Department coordinates with Public Works to set the date for the encampment clean up, typically two weeks in advance. The Police Department then posts written “seven-day notices to vacate” throughout encampment locations advising of the cleanup date, the consequences of failure to vacate (including potential citation or arrest), and offering access to services. On the day of the clean-up, any remaining residents are given a final opportunity to vacate and collect their belongings before the clean-up begins and any enforcement action is taken. Personal property is stored for 90 days and the City allows owners to retrieve property during that time period.

The government is investing heavily to implement strategies in partnership with property owners, including the State, and service providers, including the County and a host of non-profit agencies.

"
,,,,San Bruno,"Anecdote/Interview, Past Ordinance","San Bruno Ordinance has a rule about trail camp:  no person shall own, operate or manage, or permit to be owned, operated or managed, upon any premises or property under his or her control any trailer camp in the city, without having first applied for and received permission for such operation or maintenance from the city council. No such trailer camp shall be maintained in any residential portion of the city, nor within the portion of the commercial district of the city embraced within the confines of fire zone 2 of the city.(Prior code § 24-2; Ord. 1878 § 4, 2020)
Encampments cannot be immediately removed—multiple outreach attempts and housing offers must be made first.
Individuals who claim interest in housing but delay the process create legal challenges for enforcement.
Strict documentation and storage of personal belongings are required when an encampment is cleared.
Santa Barbara Police Department must prove all support options were exhausted before removal is legally justified."
,,,,South San Francisco,Past Ordinance,"South San Francisco Ordinance has a rule about trailor camp: It is unlawful for any person, firm or corporation to erect, construct, establish, alter, operate, maintain or offer for public use within the confines of the city, as hereinafter set forth, any campground without first applying for and receiving from the city council a permit so to do, in the manner hereinafter provided, and without complying with regulations hereinafter set forth, and any rules and regulations which may be formulated by the health officer from time to time and with the laws of the state.
(Ord. 193 § 3, 1937)"
Stanislaus County,General Law,"551,430","1,495 sq mi
(3,872 km2)",Modesto,Past Ordinance,"Modesto’s Camping and Storage Ordinance (Article 7 effective 7-12-12)：
Camping and storage of personal items on public or private property are prohibited unless explicitly allowed.
Temporary camping is permitted on private property for up to 5 nights with consent.
Special event camping permits can be issued at the City Manager’s discretion.
Violations are misdemeanors and can result in legal or administrative actions，including fines, penalties, and enforcement mechanisms
The City Manager has authority to regulate, approve, or revoke permits."
,,,,Turlock,Past Ordinance,"(Effective 11/24)Individuals cannot sit, lie, or sleep in public spaces, particularly in designated sensitive-use areas.
The City has the authority to enforce removal, issue citations, and impose misdemeanor penalties including  up to one (1) year in jail and/or a $1,000 fine.
Personal property cannot be left in public places and will be removed after 24 hours of notice."
,,,,Ceres,Past Ordinance,"Ceres Municipal Code §18.28.120(1-25-2021):Camping is prohibited in most public and private areas within residential, commercial, and industrial zones.
Limited exceptions allow camping in designated campgrounds, permitted events, and certain residential RV situations.
Violators receive an 8-hour warning before enforcement.
Multiple violations lead to misdemeanor charges  and punishable by a fine of not more than $1,000.00, or by imprisonment in the County jail for a period not exceeding six months, or by both such fine and imprisonment.
Citations may be dismissed if no shelter is available and the person had no other reasonable alternatives.
The Critical Infrastructure Protection Ordinance will declare it a public nuisance for any person to camp, occupy camp facilities, use camp paraphernalia, or store personal property within 25 feet of critical infrastructure, within 25 feet of a vehicular or pedestrian entrance or exit of critical infrastructure, and in portions of right-of-way that are required to clear to first-responders.
The second ordinance calls for the city to provide written notice advising occupants they have 72 hours to clear out before the city commences a clean-up operation – unless conditions are so severe that immediate action is required. "
,,,,Riverbank,Past Ordinance,"The loitering ordinance (§130.02) could potentially apply to homeless individuals camping in public spaces,If a homeless individual is camping or staying in a public space in a manner that raises safety concerns (e.g., blocking a sidewalk, refusing to identify themselves, or attempting to conceal themselves), they could be subject to this provision.
However, if they provide a valid explanation (e.g., lack of shelter), this could prevent conviction."
,,,,Oakdale,Past Ordinance,"Article XII: Camping is prohibited in public spaces and private property without consent, except for limited exemptions.
Special event camping requires a permit, subject to health and safety review.
Illegal camping and personal property storage are misdemeanors and can be enforced as public nuisances."
,,,,Patterson,Anecdote/Interview,"Facing strong opposition, the City Council on Tuesday night backed away from an ordinance. Under the ordinance, sleeping on public sidewalks, streets, bridges, train stations, and other public properties is prohibited at all times. Camping and overnight parking in city parks would also be banned. It  would establish penalties of up to $2,000 in fines, 90 days of imprisonment or community service, or a combination thereof."
,,,,Salida,,No local ordinance found. Refer to the county ordinance.
,,,,Newman,Past Ordinance,"(Passed December 10, 2024.)Camping is prohibited on public and private property, except in limited situations.
Storage of camping-related items is also banned.
Providing aid to unlawful campers is restricted.
Temporary camping permits are available for special events.
Violations are misdemeanors but may be dismissed if no alternative shelter was available."
,,,,Waterford,Past Ordinance,"(2024-12-05)Camping and setting up shelters on public land are illegal.
Sleeping outdoors is prohibited at night, unless no indoor shelter is available.
Specific areas mentioned include city parks, riverbanks, and under bridges.
This ordinance is likely influenced by legal rulings protecting homeless individuals from penalties when shelters are full."
,,,,Hughson,,No local ordinance found. Refer to the county ordinance.
Sonoma County,General Law,"481,812","1,576 sq mi
(4,082 km2)",Sebastopol ,Past Ordinance,"Ordinance passed that is enforced starting January 2025, where RV parking is prohibited at all times on residential streets in Sebastopol and is allowed in commercial or industrial zones only between 10 pm and 7 am. Former mayor Diana Rich, who voted for the RV ordinance in March 2022, called it a “compassionate compromise” that allows people to sleep in Sebastopol in their RVs, but not set up permanent encampments."
,,,,Santa Rosa,Past Ordinance,"The county in 2023  enacted a ban on camping on public property from 7 a.m. to 9 p.m. daily, among other prohibitions. Santa Rosa’s ordinance, also passed in 2023, prohibits people from setting up tents or storing belongings in city parks or on the sidewalk — among other public areas — if it impedes traffic.
Both the city and county between 2019 and 2023 operated under a federal injunction limiting their ability to clear illegal encampments on public property. Challenged in federal court, injunction, but Grants knocked down main argument. "
,,,,Petaluma,Anecdote/Interview,State awarded nearly $8 million to clean up Petaluma encmapments near Highway 101
