"County
,,,,Chula Visa ,Past Ordinance,"Prohibited Conduct
Prohibits Sitting, Lying, Sleeping, or Storage on a street, sidewalk, or public property ""in a manner that impedes passage, as provided by the ADA.""
Chula Vista, Cal., Code § 9.90.030 (2024)."
,,,,Chula Visa ,Past Ordinance,"Prohibited Conduct
Cannot camp
(1) w/in 1000 ft of a school,
(2) in or w/in 1000 ft of a city park,
(3) wildlife conservation areas,
(4) ""Major Transit Stops,"" lists 3 trolley stops and 225 bus stops,
(5) w/in 1000 ft of a shelter/safe camping/safe parking site.
Chula Vista, Cal., Code § 9.90.040 (2024)"
,,,,Chula Visa ,Past Ordinance,"Enforcement
(1) police may remove personal property; (2) camping is a public nuisance; (3) violation may be charged as misdemeanor or infraction. "
,,,,Chula Visa ,Past Ordinance,"Notice Requirements
(1) At least 3 hrs written notice before violating 9.90.030; At least 24 hrs written notice before removal of property
(2) If City Manager/Police Department finds it ""reasonably necessary to remove [a] immediate threat,"" or if SDC directs city to remove property for public health and safety, may remove property w/out any notice.
Chula Vista, Cal., Code § 9.90.050 (2024)."
,,,,Coronado ,Past Ordinance,"Prohibited Conduct
(1) No camping/sleeping in public parks/beaches 11:00pm-5:00am.
(2) No campling/sleeping on any public street
(3) No loitering on public streets 11:00pm-5:00am.
Coronado, Cal., Code § 40.48.010 (2015)."
,,,,Coronado ,Past Ordinance,"Prohibited Conduct
(1) No tents/canopies/barricades in public parks/beaches 11pm-5am
(2) Can't leave tents/canopies/barricades unattended 5am-11pm
Coronado, Cal., Code § 40.48.012 (2015)."
,,,,Coronado ,Past Ordinance,"Prohibited Conduct
Can't stand/sit on street/median/sidewalk in a manner that obstructs passage or to ""hinder/molest/annoy"" passerbys
Coronado, Cal., Code § 40.48.040."
,,,,Del Mar ,Past Ordinance,"Prohibited Conduct
(1) No camping overnight.
(2) Camping evidenced by bedrolls and tents
Del Mar, Cal., Code § 9.04.020."
,,,,El Cajon ,Anecdote/Interview,"Feb. 2025
After a fire at a homeless encampment in an unincorporated area of El Cajon, several arrests were made for charges ""including drug-related offenses, outstanding misdemeanor warrants and identity theft"" as the encampment was cleared"
,,,,El Cajon ,Past Ordinance,"Definitions
(1) Camping in parks = living/spending inordinary amount of time in a park with ""camp paraphenelia""
(2) Camp paraphenelia ""includ[es], but [is] not limited to, clothing, sleeping bags, bedrolls, blankets, sheets, luggage, backpacks, kitchen utensils, cookware, and similar material""
El Cajon, Cal. Code § 2.56.010."
,,,,El Cajon ,Past Ordinance,"Prohibited Conduct
Prohibits sleeping or camping on city property
El Cajon, Cal. Code §§ 9.36.020, 9.36.025."
,,,,El Cajon ,Past Ordinance,"Prohibited Conduct
(1) Cannot occupy public street/sidewalk/alley for any purpose besides normal pedestrian traffic.
(2) May not loiter in a manner that ""maliciously obstruct[s] or interfere[s] with free passage.""
El Cajon, Cal. Code § 12.08.010-20. "
,,,,Encinitas ,Proposed Ordinance,"Introduced Feb. 2025
Proposes collaboration between CA DOT and local gov'ts to clear existing homeless encampments on DOT property and prevent new encampments from forming.
S.B. 569"
,,,,Encinitas ,Past Ordinance,"Prohibited Conduct
(1) No camping on public property
Encinitas, Cal. Code § 9.01.020 (2004)."
,,,,Encinitas ,Past Ordinance,"Definitions
""'Camping' is evidenced by, among other things, the establishment of sleeping accommodations; the use of a bedroll or sleeping bag; the erection or maintenance of a shelter""
Encinitas, Cal. Code § 9.01.020 (2004)."
,,,,Escondido ,Anecdote/Interview,"Dec. 2024
Encampment of 52 cleared out. City of Escondido has only 15 homeless shelter beds"
,,,,Escondido ,Past Ordinance,"Definitions
Camping = ""remaining for prolonged or repetitious periods of time not associated with ordinary recreational use of a park with one's personal property (including, but not limited to, clothing, sleeping bags, bedrolls, blankets, sheets, tents, tarpaulins, luggage, backpacks, kitchen utensils, cookware, and similar material), sleeping or making preparations to sleep, regularly cooking or consuming meals, or living in a parked vehicle""
Escondido, Cal. Code § 17-7"
,,,,Escondido ,Past Ordinance,"Prohibited Conduct
No camping
(1) where there's an ""unreasonable risk of harm"" to people/public health/public safety or a disruption of vital gov't services
(2) w/in 500 ft of a school zone
(3) w/in 500 ft of a shelter if there's visible signage
(4) In any ""open space, waterway, or bank of a waterway.""
(5) in transit hubs(7) any park or open space where city manager considered camping to pose a substantial public health and safety
Escondido, Cal. Code § 17-8.4 (2024)."
,,,,Escondido ,Past Ordinance,"Enforcement
(1) Violation is a misdemeanor offense
(2) Subject to removal after 24 hr. written notice/expedited abatement
Escondido, Cal. Code § 17-8.5 (2024)."
,,,,Imperial beach ,Past Ordinance,"Prohibited Conduct
(1) Prohibits camping, lodging, or sleeping on or w/in any public property.
(2) Prohibits storage of personal items on public proeprty
Imperial Beach, Cal. Code § 12.5."
,,,,La Mesa ,Proposed Ordinance,"Jan. 2025
La Mesa Councilmember calls for policy of removing a homeless person from the city if help is turned down 15 times. No bill."
,,,,La Mesa ,Past Ordinance,"Definitions
(1) Camping is not limited to tents and can be anywhere where bedding is placed
(2) No person shall camp in or upon any city sidewalk, street, alley, lane, park, public right-of-way or any other place to which the general public has access, or under any bridgeway or viaduct
La Mesa, Cal. Code §§ 10.52.020, 10.52.030"
,,,,Lemon Grove ,Anecdote/Interview,"Aug. 2024
City has failed to deliver on commitment to create homeless shelter over period of 3 years"
