name,jurisdiction_type,lat,lon,source
Hesperia,city,34.397038,-117.315198,census_gazetteer_2024
Hidden Hills,city,34.163744,-118.66121,census_gazetteer_2024
Highland,city,34.113473,-117.165729,census_gazetteer_2024
Hillsborough,city,37.557206,-122.358541,census_gazetteer_2024
Hollister,city,36.855599,-121.398598,census_gazetteer_2024
Holtville,city,32.813781,-115.378319,census_gazetteer_2024
Hughson,city,37.602135,-120.866004,census_gazetteer_2024
Huntington Beach,city,33.698007,-118.003834,census_gazetteer_2024
Huntington Park,city,33.979248,-118.217438,census_gazetteer_2024
Huron,city,36.204381,-120.095119,census_gazetteer_2024
Imperial,city,32.838801,-115.572012,census_gazetteer_2024
Imperial Beach,city,32.56914,-117.114921,census_gazetteer_2024
Indian Wells,city,33.699892,-116.32955,census_gazetteer_2024
Indio,city,33.731639,-116.235971,census_gazetteer_2024
Industry,city,34.026232,-117.940327,census_gazetteer_2024
Inglewood,city,33.956068,-118.344274,census_gazetteer_2024
Ione,city,38.362862,-120.947685,census_gazetteer_2024
Irvine,city,33.678399,-117.771254,census_gazetteer_2024
Irwindale,city,34.111855,-117.963614,census_gazetteer_2024
Isleton,city,38.161252,-121.604958,census_gazetteer_2024
Jackson,city,38.348489,-120.772822,census_gazetteer_2024
Jurupa Valley,city,34.002591,-117.467612,census_gazetteer_2024
Kerman,city,36.724911,-120.06258,census_gazetteer_2024
King City,city,36.216283,-121.131962,census_gazetteer_2024
Kingsburg,city,36.525193,-119.566403,census_gazetteer_2024
La Ca̱ada Flintridge,city,34.20969,-118.200139,census_gazetteer_2024
La Habra,city,33.927927,-117.951554,census_gazetteer_2024
La Habra Heights,city,33.958959,-117.948973,census_gazetteer_2024
La Mesa,city,32.769495,-117.021923,census_gazetteer_2024
La Mirada,city,33.902045,-118.008961,census_gazetteer_2024
La Palma,city,33.850616,-118.039565,census_gazetteer_2024
La Puente,city,34.032333,-117.95352,census_gazetteer_2024
